,Track_id,Title,Artist_id,Artists,Album,Album Release Date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,3tgZ9vmhuAY9wEoNUJskzV,Timber (feat. Ke$ha),0TnOYISbd1XYRBk9myaseg,"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),2012,0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983,audio_features,3tgZ9vmhuAY9wEoNUJskzV,spotify:track:3tgZ9vmhuAY9wEoNUJskzV,https://api.spotify.com/v1/tracks/3tgZ9vmhuAY9wEoNUJskzV,https://api.spotify.com/v1/audio-analysis/3tgZ9vmhuAY9wEoNUJskzV,204200,4
1,2EBCVPNAG46nbgs6jXPGvv,Starships,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2012-01-01,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,2EBCVPNAG46nbgs6jXPGvv,spotify:track:2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/tracks/2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/audio-analysis/2EBCVPNAG46nbgs6jXPGvv,210627,4
2,6pGUGTIaZ1H4jKHIL4Fged,Wild Strawberries,6n28c9qs9hNGriNa72b26u,PNAU,PNAU (Tour Edition),2009-01-01,0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921,audio_features,6pGUGTIaZ1H4jKHIL4Fged,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,https://api.spotify.com/v1/tracks/6pGUGTIaZ1H4jKHIL4Fged,https://api.spotify.com/v1/audio-analysis/6pGUGTIaZ1H4jKHIL4Fged,235107,4
3,09TcIuH1ZO7i4vicWKoaN2,Papaoutai,5j4HeCoUlzhfWtjAfM1acR,Stromae,racine carrée,2013-01-01,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,audio_features,09TcIuH1ZO7i4vicWKoaN2,spotify:track:09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/tracks/09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/audio-analysis/09TcIuH1ZO7i4vicWKoaN2,232147,4
4,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,0NKDgy9j66h3DLnN8qu1bB,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),1983-01-04,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
5,3w2GGz0HjIu9OcWXINRFJR,Rock and Roll - 1990 Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Led Zeppelin IV,1971-11-08,0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39,audio_features,3w2GGz0HjIu9OcWXINRFJR,spotify:track:3w2GGz0HjIu9OcWXINRFJR,https://api.spotify.com/v1/tracks/3w2GGz0HjIu9OcWXINRFJR,https://api.spotify.com/v1/audio-analysis/3w2GGz0HjIu9OcWXINRFJR,219800,4
6,4X4tgBEUiT6WqB2oTJ5ynH,Talk Dirty (feat. 2 Chainz),07YZf4WDAMNwqr4jfgOZ8y,"Jason Derulo, 2 Chainz",Tattoos (Special Edition),2013-09-10,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,audio_features,4X4tgBEUiT6WqB2oTJ5ynH,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/tracks/4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/audio-analysis/4X4tgBEUiT6WqB2oTJ5ynH,177685,4
7,36pLU2ywVeBKEF0rrKtmCB,La La La,1bT7m67vi78r2oqvxrP3X5,"Naughty Boy, Sam Smith",Hotel Cabana (Deluxe Version),2014-01-01,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,audio_features,36pLU2ywVeBKEF0rrKtmCB,spotify:track:36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/tracks/36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/audio-analysis/36pLU2ywVeBKEF0rrKtmCB,222200,4
8,0BBZuOGGBj9u4X3rAfmae8,Play Hard (feat. Ne-Yo & Akon),1Cs0zKBU1kc0i8ypK3B9ai,"David Guetta, Ne-Yo, Akon",Nothing but the Beat Ultimate,2011-08-24,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,audio_features,0BBZuOGGBj9u4X3rAfmae8,spotify:track:0BBZuOGGBj9u4X3rAfmae8,https://api.spotify.com/v1/tracks/0BBZuOGGBj9u4X3rAfmae8,https://api.spotify.com/v1/audio-analysis/0BBZuOGGBj9u4X3rAfmae8,201000,4
9,1obZSxOoO12yWkwY1kY72N,Feel This Moment (feat. Christina Aguilera),0TnOYISbd1XYRBk9myaseg,"Pitbull, Christina Aguilera",Global Warming: Meltdown (Deluxe Version),2012,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,1obZSxOoO12yWkwY1kY72N,spotify:track:1obZSxOoO12yWkwY1kY72N,https://api.spotify.com/v1/tracks/1obZSxOoO12yWkwY1kY72N,https://api.spotify.com/v1/audio-analysis/1obZSxOoO12yWkwY1kY72N,229507,4
